match_link,match_datetime,edition,phase_label,phase_type,home_team,score,away_team,winner_team,winner_home_away,aet,location,attendance_number,referee_name,referee_country,is_wo,home_score,away_score
https://www.fifa.com/worldcup/archive/southafrica2010/matches/match/300061479/,2010-06-24 16:00:00,2010,Group F,groups,Paraguay,0–0,New Zealand,,,False,"Peter Mokaba Stadium, Polokwane",34850,Yuichi Nishimura ,Japan,False,0,0
https://www.fifa.com/worldcup/archive/southafrica2010/matches/match/300061489/,2010-06-15 16:00:00,2010,Group G,groups,Ivory Coast,0–0,Portugal,,,False,"Nelson Mandela Bay Stadium, Port Elizabeth",37034,Jorge Larrionda ,Uruguay,False,0,0
https://www.fifa.com/worldcup/archive/southafrica2010/matches/match/300061490/,2010-06-15 20:30:00,2010,Group G,groups,Brazil,2–1,North Korea,Brazil,home,False,"Ellis Park Stadium, Johannesburg",54331,Viktor Kassai ,Hungary,False,2,1
https://www.fifa.com/worldcup/archive/southafrica2010/matches/match/300061488/,2010-06-20 20:30:00,2010,Group G,groups,Brazil,3–1,Ivory Coast,Brazil,home,False,"Soccer City, Johannesburg",84455,Stéphane Lannoy ,France,False,3,1
https://www.fifa.com/worldcup/archive/southafrica2010/matches/match/300061487/,2010-06-21 13:30:00,2010,Group G,groups,Portugal,7–0,North Korea,Portugal,home,False,"Cape Town Stadium, Cape Town",63644,Pablo Pozo ,Chile,False,7,0
https://www.fifa.com/worldcup/archive/southafrica2010/matches/match/300111111/,2010-06-25 16:00:00,2010,Group G,groups,Portugal,0–0,Brazil,,,False,"Moses Mabhida Stadium, Durban",62712,Benito Archundia ,Mexico,False,0,0
https://www.fifa.com/worldcup/archive/southafrica2010/matches/match/300061486/,2010-06-25 16:00:00,2010,Group G,groups,North Korea,0–3,Ivory Coast,Ivory Coast,away,False,"Mbombela Stadium, Nelspruit",34763,Alberto Undiano Mallenco ,Spain,False,0,3
https://www.fifa.com/worldcup/archive/southafrica2010/matches/match/300061495/,2010-06-16 13:30:00,2010,Group H,groups,Honduras,0–1,Chile,Chile,away,False,"Mbombela Stadium, Nelspruit",32664,Eddy Maillet ,Seychelles,False,0,1
https://www.fifa.com/worldcup/archive/southafrica2010/matches/match/300111112/,2010-06-16 16:00:00,2010,Group H,groups,Spain,0–1,Switzerland,Switzerland,away,False,"Moses Mabhida Stadium, Durban",62453,Howard Webb ,England,False,0,1
https://www.fifa.com/worldcup/archive/southafrica2010/matches/match/300061493/,2010-06-21 16:00:00,2010,Group H,groups,Chile,1–0,Switzerland,Chile,home,False,"Nelson Mandela Bay Stadium, Port Elizabeth",34872,Khalil Al Ghamdi ,Saudi Arabia,False,1,0
